Record #,Easting,Northing,Elev,Trend
,(m),(m),(m),(°)
239,341156,5253146,898,129
240,341341,5244262,874,75
241,341348,5236559,866,113
242,341351,5252991,897,129.3
243,341435,5236424,865,135
244,341464,5252775,896,150
245,341484,5252667,897,189.2
246,341488,5252840,898,120.2
247,341563,5259804,916,96
248,341928,5251816,873,108.1
249,342182,5259730,905,32
250,342305,5251381,883,73
251,342489,5244599,854,122
252,342504,5270320,840,13
253,342527,5273350,836,146
254,342659,5244677,850,119
255,342747,5260993,897,61
256,342776,5263236,902,66
257,343056,5261043,893,79
258,343185,5262737,912,147
259,343202,5262632,910,148.7
260,343345,5263344,904,64
261,343495,5261032,893,57
262,343517,5264090,906,20.6
263,343519,5264100,906,18.8
264,343586,5264130,903,44.7
265,343591,5264128,904,46.4
266,343594,5264123,903,49.6
267,343768,5263495,898,56
268,344336,5267499,834,86
269,344685,5257590,894,53
270,344994,5269551,836,13
271,345239,5266392,843,75
272,345272,5266556,844,169
273,345691,5269478,831,59
274,346055,5259640,917,48
275,346147,5266881,833,102
276,346147,5266881,833,100.5
277,346375,5270499,848,67
278,346389,5247114,869,81
279,346390,5247112,869,80.6
280,346855,5265442,829,133.6
281,346889,5244372,846,44
282,347106,5262319,880,37
283,347118,5261313,892,125
284,347119,5269094,776,64
285,347121,5246339,850,115
286,347160,5250826,852,127
287,347169,5261200,891,119
288,347180,5242183,837,121
289,347503,5259856,935,78.5
290,347506,5259839,935,49
291,347547,5261193,878,78
292,347683,5261229,880,76
293,347803,5261132,891,67
294,348015,5250226,851,125
295,348039,5251503,854,83
296,348054,5263201,891,50.3
297,348108,5261325,888,58
298,348161,5268271,824,113
299,348189,5266669,832,68
300,348250,5257062,876,117
301,348292,5256918,878,158
302,348319,5268266,826,90
303,348408,5256963,878,120
304,348471,5259278,893,36
305,348497,5263012,888,85
306,348654,5267848,817,161
307,348715,5249563,865,97
308,348738,5262192,884,49
309,348798,5249560,866,72
310,348810,5251908,856,83
311,348817,5263031,889,46.5
